class,precision,recall,f1,support
Analysis,0.1972,0.9837,0.3286,245
Backdoor,0.0906,0.0751,0.0821,932
Benign,1.0,0.9991,0.9995,447546
DoS,0.139,0.0953,0.1131,1196
Exploits,0.8404,0.4292,0.5682,8550
Fuzzers,0.5628,0.5258,0.5437,6763
Generic,0.9127,0.6809,0.7799,3930
Reconnaissance,0.3851,0.6141,0.4733,3415
Shellcode,0.1883,0.7185,0.2984,476
Worms,0.0121,0.8438,0.0239,32
macro avg,0.4328,0.5965,0.4211,473085
weighted avg,0.9804,0.9722,0.9744,473085
