class,precision,recall,f1,support
Analysis,0.3027,0.7265,0.4274,245
Backdoor,0.384,0.2006,0.2636,932
Benign,1.0,0.9999,1.0,447546
DoS,0.4903,0.403,0.4424,1196
Exploits,0.8208,0.725,0.77,8550
Fuzzers,0.6934,0.8771,0.7745,6763
Generic,0.9078,0.8814,0.8944,3930
Reconnaissance,0.791,0.6917,0.738,3415
Shellcode,0.6185,0.729,0.6692,476
Worms,0.75,0.8438,0.7941,32
macro avg,0.6759,0.7078,0.6774,473085
weighted avg,0.9868,0.9865,0.9863,473085
