held_out,known_macro_f1,disagreement_auroc,unknown_mean_disagreement,known_mean_disagreement
"Worms, Analysis, Shellcode",0.6925969074659681,0.8227676790210809,0.18671978751660026,0.005555414411896715
"Backdoor, DoS, Fuzzers",0.7779559468424445,0.8669712900560806,0.18319649083342707,0.0034222760311421515
