class,precision,recall,f1,support
Analysis,0.0,0.0,0.0,245
Backdoor,0.3031,0.2082,0.2468,932
Benign,1.0,0.9999,1.0,447546
DoS,0.4851,0.408,0.4432,1196
Exploits,0.7768,0.7533,0.7649,8550
Fuzzers,0.6918,0.8822,0.7755,6763
Generic,0.892,0.8888,0.8904,3930
Reconnaissance,0.779,0.704,0.7396,3415
Shellcode,0.0,0.0,0.0,476
Worms,0.0,0.0,0.0,32
macro avg,0.4928,0.4844,0.486,473085
weighted avg,0.9848,0.9861,0.9852,473085
