method,Worms_recall,Analysis_recall,Shellcode_recall,macro_f1
none,0.40625,0.3346938775510204,0.5147058823529411,0.5931274587470048
class_weight,0.625,0.9387755102040817,0.7289915966386554,0.6363022798570886
SMOTE,0.59375,0.9387755102040817,0.7331932773109243,0.6154222629858477
