class,precision,recall,f1,support
Analysis,0.3077,0.7184,0.4308,245
Backdoor,0.0,0.0,0.0,932
Benign,1.0,0.9999,1.0,447546
DoS,0.0,0.0,0.0,1196
Exploits,0.5204,0.8648,0.6498,8550
Fuzzers,0.0,0.0,0.0,6763
Generic,0.8009,0.8947,0.8452,3930
Reconnaissance,0.4716,0.7678,0.5843,3415
Shellcode,0.4641,0.7731,0.58,476
Worms,0.6923,0.8438,0.7606,32
macro avg,0.4257,0.5862,0.4851,473085
weighted avg,0.9661,0.9758,0.9698,473085
